species_name,taxonomic_name,family,class,thermal_guild,range,frequency,abundance,max_length,trophic_level,trophic_group,trophic_group_2,water_column,diel_activity,habitat,min_depth,max_depth,ThermalMP_5_95,ThermalMP_5min_95max,Thermal_95thmax,TNConfidence,SGI,SGI conf,phylum,order,genus,species_epithet,phylogenetic_diversity_index,trophic_level_se,vulnerability,reproductive_mode,fertilization,spawning_frequency,batch_spawner,reproductive_guild,life_cycle,trophic_breadth,diet,diet_level,time,macrophyte,complexity
Anampses neoguinaicus,Anampses neoguinaicus,Labridae,Actinopterygii,tropical,1162,30,6,20,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,4,25,24.291,24.472,29.813,3,27.9155868,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anampses neoguinaicus,Anampses neoguinaicus,Labridae,Actinopterygii,NA,NA,NA,NA,NA,3.5,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anampses,neoguinaicus,0.5001,0.37,36,dioecism,exterl,NA,NA,nonguarders,NA,3,amphipods,1,Day,low,low
Anampses spp.,Anampses spp.,Labridae,Actinopterygii,tropical,NA,NA,NA,NA,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,NA,NA,25.433575,24.743675,30.46345,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anampses spp.,Anampses spp.,Labridae,Actinopterygii,NA,NA,NA,NA,NA,3.5,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anampses,NA,0.5001,NA,NA,NA,NA,NA,NA,NA,NA,3,amphipods,1,Day,low,low
Anampses twistii,Anampses twistii,Labridae,Actinopterygii,tropical,5779,15,2,18,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,5,30,27.261,27.0252,31.2104,3,13.4090805,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anampses twistii,Anampses twistii,Labridae,Actinopterygii,NA,NA,NA,NA,NA,3.5,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anampses,twistii,0.5001,0.37,28,dioecism,exterl,NA,NA,nonguarders,NA,3,amphipods,1,Day,low,low
Anarchias seychellensis,Anarchias seychellensis,Muraenidae,Actinopterygii,tropical,10,100,1,29,NA,Higher carnivore,Higher carnivore,benthic,Night,coral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anarrhichthys ocellatus,Anarrhichthys ocellatus,Anarhichadidae,Actinopterygii,temperate,3852,11,2,240,3.5,Benthic invertivore,Benthic invertivore,benthic,Day,rock,1,226,19.1656,16.4587,29.725,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anarrhichthys ocellatus,Anarrhichthys ocellatus,Anarhichadidae,Actinopterygii,NA,NA,NA,NA,NA,3.5,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anarrhichthys,ocellatus,1.0312,0.53,85,dioecism,exterl,NA,NA,guarders,NA,3,Carnivore,4,Day,low,high
Anasterias antarctica,Anasterias antarctica,Asteriidae,Asteroidea,temperate,719,71,8,NA,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,10.899,11.7,19.031,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anasterias antarctica,Anasterias antarctica,Asteriidae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Forcipulatida,Anasterias,antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchitosia queenslandensis,Anchitosia queenslandensis,Goniasteridae,Asteroidea,tropical,10,100,1,8,NA,Benthic invertivore,Benthic invertivore,benthic,NA,coral,NA,NA,26.9,26.9925,29.867,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchitosia queenslandensis,Anchitosia queenslandensis,Goniasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Valvatida,Anchitosia,queenslandensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancula gibbosa,Ancula gibbosa,Goniodorididae,Gastropoda,temperate,692,30,2,3.3,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,10.168,10.4765,14.971,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancula gibbosa,Ancula gibbosa,Goniodorididae,Gastropoda,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Nudibranchia,Ancula,gibbosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancula sp. [gibbosa],Ancula spp.,Goniodorididae,Gastropoda,temperate,10,100,1,NA,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancylomenes magnificus,Ancylomenes magnificus,Palaemonidae,Malacostraca,temperate,NA,NA,NA,2.5,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,19.466,19.116,22.373,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancylomenes magnificus,Ancylomenes magnificus,Palaemonidae,Malacostraca,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Decapoda,Ancylomenes,magnificus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancylomenes venustus,Ancylomenes venustus,Palaemonidae,Malacostraca,tropical,10,33,1,3,NA,Benthic invertivore,Benthic invertivore,benthic,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angaria delphinus,Angaria delphinus,Angariidae,Gastropoda,tropical,10,67,2,NA,NA,Browsing herbivore,Herbivore,benthic,NA,coral,NA,NA,27.639,27.3195,30.836,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angaria neglecta,Angaria neglecta,Angariidae,Gastropoda,temperate,10,50,1,NA,NA,Scraping herbivore,Herbivore,benthic,NA,rock,NA,NA,22.124,23.2895,31.136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angaria neglecta,Angaria neglecta,Angariidae,Gastropoda,NA,NA,NA,NA,NA,NA,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,Angaria,neglecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angaria sp.,Angaria spp.,Angariidae,Gastropoda,tropical,NA,NA,NA,NA,NA,Browsing herbivore,Herbivore,benthic,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angaria tyria,Angaria tyria,Angariidae,Gastropoda,tropical,501,7,3,7,NA,Scraping herbivore,Herbivore,benthic,NA,coral,NA,NA,23.6538,24.36095,30.9899,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angaria tyria,Angaria tyria,Angariidae,Gastropoda,NA,NA,NA,NA,NA,NA,herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Archaeogastropoda,Angaria,tyria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus elegans,Aniculus elegans,Diogenidae,Malacostraca,tropical,465,15,2,4.5,NA,omnivore,Herbivore,benthic,NA,coral,NA,NA,26.92785,26.73375,30.2745,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus elegans,Aniculus elegans,Diogenidae,Malacostraca,NA,NA,NA,NA,NA,NA,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Decapoda,Aniculus,elegans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus erythraeus,Aniculus erythraeus,Diogenidae,Malacostraca,tropical,10,100,2,NA,NA,omnivore,Herbivore,benthic,NA,coral,NA,NA,26.152,26.273,28.733,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus erythraeus,Aniculus erythraeus,Diogenidae,Malacostraca,NA,NA,NA,NA,NA,NA,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Decapoda,Aniculus,erythraeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus maximus,Aniculus maximus,Diogenidae,Malacostraca,temperate,83,7,1,12,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,22.094,22.26945,25.3703,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus retipes,Aniculus retipes,Diogenidae,Malacostraca,tropical,1971,8,2,NA,NA,omnivore,Herbivore,benthic,NA,coral,NA,NA,27.7342,27.6136,29.6522,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus retipes,Aniculus retipes,Diogenidae,Malacostraca,NA,NA,NA,NA,NA,NA,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Decapoda,Aniculus,retipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus sp. [elegans],Aniculus spp.,Diogenidae,Malacostraca,tropical,NA,NA,NA,NA,NA,omnivore,Herbivore,benthic,NA,coral,NA,NA,27.127,27.079,28.787,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniculus sp. [elegans],Aniculus spp.,Diogenidae,Malacostraca,NA,NA,NA,NA,NA,NA,omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Decapoda,Aniculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisodoris spp.,Anisodoris spp.,Archidorididae,Gastropoda,temperate,NA,NA,NA,NA,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,15.215,15.7335,18.611,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisodoris spp.,Anisodoris spp.,Archidorididae,Gastropoda,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Nudibranchia,Anisodoris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus caesius,Anisotremus caesius,Haemulidae,Actinopterygii,tropical,520,20,6,30,3.4,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,NA,NA,26.896525,26.5315,30.245,3,4.9984117,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus caesius,Anisotremus caesius,Haemulidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anisotremus,caesius,0.501,0.4,32,NA,NA,NA,NA,NA,NA,5.333333333,Benthic Mobile Inverts,3,Night,low,medium
Anisotremus davidsonii,Anisotremus davidsonii,Haemulidae,Actinopterygii,temperate,10,75,1,NA,NA,Higher carnivore,Higher carnivore,benthic,Day,rock,NA,NA,22.21,22.6405,29.254,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus interruptus,Anisotremus interruptus,Haemulidae,Actinopterygii,tropical,693,21,25,51,3.5,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,3,30,26.08005,25.3245,30.2,3,6.2993193,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus interruptus,Anisotremus interruptus,Haemulidae,Actinopterygii,NA,NA,NA,NA,NA,3.5,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anisotremus,interruptus,0.501,0.37,58,NA,NA,NA,NA,NA,NA,5.333333333,Benthic Mobile Inverts,3,Night,low,medium
Anisotremus scapularis,Anisotremus scapularis,Haemulidae,Actinopterygii,temperate,228,20,33,40,3.3,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,3,30,22.663,23.1575,26.17,1,2.8830563,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus scapularis,Anisotremus scapularis,Haemulidae,Actinopterygii,NA,NA,NA,NA,NA,3.3,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anisotremus,scapularis,0.501,0.5,36,NA,NA,NA,NA,NA,NA,6,Benthic Mobile Inverts,3,Night,low,medium
Anisotremus surinamensis,Anisotremus surinamensis,Haemulidae,Actinopterygii,tropical,966,8,3,76,3.3,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,0,20,27.256275,26.697975,30.76685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus surinamensis,Anisotremus surinamensis,Haemulidae,Actinopterygii,NA,NA,NA,NA,NA,3.3,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anisotremus,surinamensis,0.501,0.4,56,NA,NA,NA,NA,NA,NA,4,Benthic Mobile Inverts,3,Night,low,medium
Anisotremus taeniatus,Anisotremus taeniatus,Haemulidae,Actinopterygii,tropical,511,23,3,31,4.2,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,NA,NA,26.706,25.736375,30.22575,3,5.5645748,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus taeniatus,Anisotremus taeniatus,Haemulidae,Actinopterygii,NA,NA,NA,NA,NA,4.2,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anisotremus,taeniatus,0.501,0.73,32,NA,NA,NA,NA,NA,NA,5.333333333,Benthic Mobile Inverts,3,Night,low,medium
Anisotremus virginicus,Anisotremus virginicus,Haemulidae,Actinopterygii,tropical,3083,10,6,40.6,3.4,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,2,20,27.07405,26.657,31.063,2,4.9215462,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisotremus virginicus,Anisotremus virginicus,Haemulidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anisotremus,virginicus,0.501,0.5,38,NA,NA,NA,NA,NA,NA,6,Benthic Mobile Inverts,3,Night,low,medium
Anoplocapros amygdaloides,Anoplocapros amygdaloides,Ostraciidae,Actinopterygii,temperate,75,39,2,39,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,2,100,20.0189,20.03635,23.779,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplocapros amygdaloides,Anoplocapros amygdaloides,Ostraciidae,Actinopterygii,NA,NA,NA,NA,NA,3.3,herbivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tetraodontiformes,Anoplocapros,amygdaloides,0.5626,0.5,16,NA,NA,NA,NA,NA,NA,4.571428571,Detritus,1,Day,low,medium
Anoplocapros inermis,Anoplocapros inermis,Ostraciidae,Actinopterygii,temperate,169,23,2,37,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,10,300,19.880675,19.9155,24.56,3,2.2639051,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplocapros inermis,Anoplocapros inermis,Ostraciidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,herbivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tetraodontiformes,Anoplocapros,inermis,0.5626,0.5,20,NA,NA,NA,NA,NA,NA,4.571428571,Detritus,1,Day,low,medium
Anoplocapros lenticularis,Anoplocapros lenticularis,Ostraciidae,Actinopterygii,temperate,742,9,1,33,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,5,40,18.9062,18.536,23.731,3,0.7592812,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplocapros lenticularis,Anoplocapros lenticularis,Ostraciidae,Actinopterygii,NA,NA,NA,NA,NA,3.3,herbivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tetraodontiformes,Anoplocapros,lenticularis,0.5626,0.5,18,NA,NA,NA,NA,NA,NA,4.571428571,Detritus,1,Day,low,medium
Antedon bifida,Antedon bifida,Antedonidae,Crinoidea,temperate,703,23,17,10,NA,Planktivore,Planktivore,benthic,Night,rock,NA,NA,15.1205,12.188,24.613,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon bifida,Antedon bifida,Antedonidae,Crinoidea,NA,NA,NA,NA,NA,NA,suspension feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Comatulida,Antedon,bifida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon incommoda,Antedon incommoda,Antedonidae,Crinoidea,temperate,1075,4,4,10,NA,Planktivore,Planktivore,benthic,Night,rock,0,68,16.218,15.654,20.685,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon incommoda,Antedon incommoda,Antedonidae,Crinoidea,NA,NA,NA,NA,NA,NA,suspension feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Comatulida,Antedon,incommoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon loveni,Antedon loveni,Antedonidae,Crinoidea,temperate,577,3,471,6,NA,Planktivore,Planktivore,benthic,Night,rock,0,18,18.3942,18.0813,25.6158,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon loveni,Antedon loveni,Antedonidae,Crinoidea,NA,NA,NA,NA,NA,NA,suspension feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Comatulida,Antedon,loveni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon mediterranea,Antedon mediterranea,Antedonidae,Crinoidea,temperate,10,100,1,20,NA,Planktivore,Planktivore,benthic,Night,rock,NA,NA,16.793,17.263,22.696,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon mediterranea,Antedon mediterranea,Antedonidae,Crinoidea,NA,NA,NA,NA,NA,NA,suspension feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Comatulida,Antedon,mediterranea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon spp.,Antedon spp.,Antedonidae,Crinoidea,temperate,NA,NA,NA,NA,NA,Planktivore,Planktivore,benthic,Night,rock,NA,NA,20.3002,19.503425,26.6728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antedon spp.,Antedon spp.,Antedonidae,Crinoidea,NA,NA,NA,NA,NA,NA,suspension feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Comatulida,Antedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennarius nummifer,Antennarius nummifer,Antennariidae,Actinopterygii,NA,NA,NA,NA,NA,4.2,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Lophiiformes,Antennarius,nummifer,0.5002,0.73,10,dioecism,exterl,NA,NA,nonguarders,NA,1.5,Carnivore,4,Day,low,medium
Antennatus nummifer,Antennatus nummifer,Antennariidae,Actinopterygii,tropical,NA,NA,NA,13,NA,Higher carnivore,Higher carnivore,benthic,Night,coral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthaster valvulatus,Anthaster valvulatus,Oreasteridae,Asteroidea,temperate,715,7,1,24,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,0,40,18.942,18.91715,23.1774,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthaster valvulatus,Anthaster valvulatus,Oreasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Valvatida,Anthaster,valvulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea acanthodes,Anthenea acanthodes,Oreasteridae,Asteroidea,tropical,103,8,1,14,NA,Benthic invertivore,Benthic invertivore,benthic,NA,coral,NA,NA,27.049,26.603875,31.7489,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea acanthodes,Anthenea acanthodes,Oreasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Valvatida,Anthenea,acanthodes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea australiae,Anthenea australiae,Oreasteridae,Asteroidea,temperate,10,100,5,19,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,20.305775,20.4035,23.731,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea australiae,Anthenea australiae,Oreasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Valvatida,Anthenea,australiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea elegans,Anthenea elegans,Oreasteridae,Asteroidea,tropical,10,50,1,NA,NA,Benthic invertivore,Benthic invertivore,benthic,NA,coral,NA,NA,27.209,26.589,31.684,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea sidneyensis,Anthenea sidneyensis,Oreasteridae,Asteroidea,temperate,10,100,35,12,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,19.722,19.5645,23.905,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea sidneyensis,Anthenea sidneyensis,Oreasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Valvatida,Anthenea,sidneyensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea spp.,Anthenea spp.,Oreasteridae,Asteroidea,tropical,NA,NA,NA,NA,NA,Benthic invertivore,Benthic invertivore,benthic,NA,coral,NA,NA,25.0782,24.93465,32.2134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea spp.,Anthenea spp.,Oreasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Valvatida,Anthenea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea tuberculosa,Anthenea tuberculosa,Oreasteridae,Asteroidea,tropical,10,75,1,20,NA,Benthic invertivore,Benthic invertivore,benthic,NA,coral,NA,NA,29.46895,28.7797,32.1604,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthenea tuberculosa,Anthenea tuberculosa,Oreasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Valvatida,Anthenea,tuberculosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anyperodon leucogrammicus,Anyperodon leucogrammicus,Serranidae,Actinopterygii,tropical,2924,11,1,65,3.9,Higher carnivore,Higher carnivore,Demersal,Day,coral,1,80,28.5925,28.971,33.011,3,5.5663194,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anyperodon leucogrammicus,Anyperodon leucogrammicus,Serranidae,Actinopterygii,NA,NA,NA,NA,NA,3.9,higher carnivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Anyperodon,leucogrammicus,1,0.62,52,protogyny,exterl,NA,NA,nonguarders,NA,2.596491228,Carnivore,4,Day,low,medium
Aphareus furca,Aphareus furca,Lutjanidae,Actinopterygii,tropical,3893,17,2,70,4.1,Higher carnivore,Higher carnivore,Demersal,Day,coral,1,122,27.2962,26.8855,30.674,3,16.5937876,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
