species_name,taxonomic_name,phylum,class,order,family,genus,species_epithet,phylogenetic_diversity_index,trophic_level,trophic_level_se,vulnerability,reproductive_mode,fertilization,reproductive_guild,trophic_breadth,diet,trophic_group,diet_level,time,water_column,habitat,macrophyte,complexity
Chelon labrosus,Chelon labrosus,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,labrosus,0.625,2.6,0.32,63,dioecism,exterl,nonguarders,2.8,Herbivore,herbivore,4,Day,pelagic site attached,sand,low,medium
Liza aurata,Liza aurata,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Liza,aurata,0.5,2.5,0.2,50,dioecism,exterl,nonguarders,3,Omnivore,herbivore,4,Day,pelagic non-site attached,sand,low,medium
Liza richardsonii,Liza richardsonii,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Liza,richardsonii,0.5,2.4,0.16,39,dioecism,exterl,nonguarders,1,Zooplanktivore,planktivore,2,Day,pelagic non-site attached,sand,low,medium
Mugil curema,Mugil curema,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Mugil,curema,0.5,2,0,59,dioecism,exterl,nonguarders,2,Herbivore,herbivore,4,Day,pelagic site attached,sand,low,medium
Mugil galapagensis,Mugil galapagensis,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Mugil,galapagensis,0.5,2.5,0.24,36,dioecism,exterl,nonguarders,2.333333333,Omnivore,herbivore,4,Day,pelagic site attached,sand,low,medium
Neomyxus leuciscus,Neomyxus leuciscus,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Neomyxus,leuciscus,0.75,2.9,0.36,52,dioecism,exterl,nonguarders,2.8,Herbivore,herbivore,4,Day,pelagic site attached,sand,low,medium
Saurida nebulosa,Saurida nebulosa,Chordata,Actinopterygii,Myctophiformes,Synodontidae,Saurida,nebulosa,0.5,4.2,0.73,12,dioecism,exterl,nonguarders,2.5,fishes,higher carnivore,1,Day,benthic,coral,low,low
Saurida spp.,Saurida spp.,Chordata,Actinopterygii,Myctophiformes,Synodontidae,Saurida,,0.5,,,,,,,2.5,fishes,higher carnivore,1,Day,benthic,coral,low,low
Stygnobrotula latebricola,Stygnobrotula latebricola,Chordata,Actinopterygii,Ophidiiformes,Bythitidae,Stygnobrotula,latebricola,1,3.3,0.5,12,dioecism,interl (oviduct),bearers,3,Carnivore,planktivore,4,Night,benthic,coral,low,high
Genypterus tigerinus,Genypterus tigerinus,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,tigerinus,0.5156,4.2,0.8,72,dioecism,exterl,nonguarders,2,fishes,higher carnivore,1,Night,benthic,rock,low,high
Acanthurid spp.,Acanthurid spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,,2.2,,,,,,2.230769231,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus achilles,Acanthurus achilles,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,achilles,0.5,2,0,25,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus albipectoralis,Acanthurus albipectoralis,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,albipectoralis,0.5,3.4,0.45,30,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus auranticavus,Acanthurus auranticavus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,auranticavus,0.5,2,0,26,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus bahianus,Acanthurus bahianus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,bahianus,0.5,2,0,32,,,,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus bariene,Acanthurus bariene,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,bariene,0.5,2,0,37,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus blochii,Acanthurus blochii,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,blochii,0.5,2,0,38,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus chirurgus,Acanthurus chirurgus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,chirurgus,0.5,2,0,37,,,,2,Plants+Detritus,herbivore,3,Day,Demersal,coral,low,low
Acanthurus coeruleus,Acanthurus coeruleus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,coeruleus,0.5,2,0,59,dioecism,exterl,nonguarders,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus dussumieri,Acanthurus dussumieri,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,dussumieri,0.5,2,0.1,36,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus fowleri,Acanthurus fowleri,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,fowleri,0.5,2,0,47,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus gahhm,Acanthurus gahhm,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,gahhm,0.5,2.8,0.28,33,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus grammoptilus,Acanthurus grammoptilus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,grammoptilus,0.5,2.1,0,31,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus guttatus,Acanthurus guttatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,guttatus,0.5,2,0,26,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus leucocheilus,Acanthurus leucocheilus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,leucocheilus,0.5,2,0,47,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus leucopareius,Acanthurus leucopareius,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,leucopareius,0.5,2,0,25,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus leucosternon,Acanthurus leucosternon,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,leucosternon,0.5,2,0,38,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus lineatus,Acanthurus lineatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,lineatus,0.5,2,0,23,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus maculiceps,Acanthurus maculiceps,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,maculiceps,0.5,2,0,44,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus mata,Acanthurus mata,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,mata,0.5,2.5,0.25,39,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus nigricans,Acanthurus nigricans,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,nigricans,0.5,2,0,34,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus nigricauda,Acanthurus nigricauda,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,nigricauda,0.5,3,0.4,25,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus nigrofuscus,Acanthurus nigrofuscus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,nigrofuscus,0.5,2,0,27,dioecism,exterl,nonguarders,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus nigroris,Acanthurus nigroris,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,nigroris,0.5,2,0,25,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus nubilus,Acanthurus nubilus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,nubilus,0.5,3.4,0.45,26,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus olivaceus,Acanthurus olivaceus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,olivaceus,0.5,2.2,0.2,31,dioecism,exterl,nonguarders,2,Plants+Detritus,herbivore,3,Day,Demersal,coral,low,low
Acanthurus pyroferus,Acanthurus pyroferus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,pyroferus,0.5,2,0,29,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus reversus,Acanthurus reversus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,reversus,0.5,2.2,0,28,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus sohal,Acanthurus sohal,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,sohal,0.5,2,0,33,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus sp. [fowleri],Acanthurus spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,,0.5,,,,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus sp. [pyroferus],Acanthurus spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,,0.5,,,,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus spp.,Acanthurus spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,,0.5,,,,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus tennentii,Acanthurus tennentii,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,tennentii,0.5,2,0,29,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus thompsoni,Acanthurus thompsoni,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,thompsoni,0.5,3.4,0.4,26,dioecism,exterl,nonguarders,5,Zooplanktivore,planktivore,2,Day,Demersal,coral,low,low
Acanthurus triostegus,Acanthurus triostegus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,triostegus,0.5,2.8,0.35,16,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus tristis,Acanthurus tristis,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,tristis,0.5,2.2,0,25,,,,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Acanthurus xanthopterus,Acanthurus xanthopterus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,xanthopterus,0.5,2.9,0.36,37,dioecism,exterl,nonguarders,2,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus binotatus,Ctenochaetus binotatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,binotatus,0.502,2,0,24,dioecism,exterl,nonguarders,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,cyanocheilus,0.502,2.1,0,22,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus flavicauda,Ctenochaetus flavicauda,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,flavicauda,0.502,2.2,0,15,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus hawaiiensis,Ctenochaetus hawaiiensis,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,hawaiiensis,0.502,2,0,25,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus marginatus,Ctenochaetus marginatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,marginatus,0.502,2,0,26,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus sp. [binotatus],Ctenochaetus spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,,0.502,,,,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus spp.,Ctenochaetus spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,,0.502,,,,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus striatus,Ctenochaetus striatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,striatus,0.502,2,0,17,dioecism,exterl,nonguarders,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus tominiensis,Ctenochaetus tominiensis,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,tominiensis,0.502,2.1,0,22,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Ctenochaetus truncatus,Ctenochaetus truncatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,truncatus,0.502,2.1,0,22,,,,2,Detritus,herbivore,1,Day,Demersal,coral,low,low
Naso annulatus,Naso annulatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,annulatus,0.5,2.1,0.09,45,dioecism,exterl,nonguarders,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso brachycentron,Naso brachycentron,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,brachycentron,0.5,2.7,0.29,67,dioecism,exterl,nonguarders,4.5,Carnivore,benthic carnivore,4,Day,Demersal,coral,low,low
Naso brevirostris,Naso brevirostris,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,brevirostris,0.5,2.2,0.15,33,dioecism,exterl,nonguarders,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso caeruleacauda,Naso caeruleacauda,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,caeruleacauda,0.5,2.3,0.2,44,,,,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso caesius,Naso caesius,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,caesius,0.5,2.3,0.2,47,,,,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso elegans,Naso elegans,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,elegans,0.5,2,0,47,,,,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso fageni,Naso fageni,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,fageni,0.5,2.2,0.2,57,,,,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso hexacanthus,Naso hexacanthus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,hexacanthus,0.5,3.3,0.4,41,dioecism,exterl,nonguarders,5,Carnivore,benthic carnivore,4,Day,Demersal,coral,low,low
Naso lituratus,Naso lituratus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,lituratus,0.5,2.3,0.19,34,dioecism,exterl,nonguarders,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso spp.,Naso spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,,0.5,2.5,,,,,,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso thynnoides,Naso thynnoides,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,thynnoides,0.5,3,0.32,41,dioecism,exterl,nonguarders,4.5,Carnivore,benthic carnivore,4,Day,Demersal,coral,low,low
Naso tonganus,Naso tonganus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,tonganus,0.5,2,0,53,,,,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso unicornis,Naso unicornis,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,unicornis,0.5,2.2,0.11,57,dioecism,exterl,nonguarders,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Naso vlamingii,Naso vlamingii,Chordata,Actinopterygii,Perciformes,Acanthuridae,Naso,vlamingii,0.5,2.2,0.11,38,dioecism,exterl,nonguarders,4.5,Carnivore,herbivore,4,Day,Demersal,coral,low,low
Paracanthurus hepatus,Paracanthurus hepatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Paracanthurus,hepatus,1,3.4,0.45,29,dioecism,exterl,nonguarders,2.230769231,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Prionurus laticlavius,Prionurus laticlavius,Chordata,Actinopterygii,Perciformes,Acanthuridae,Prionurus,laticlavius,0.5078,2.7,0.31,41,,,,2.230769231,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Prionurus maculatus,Prionurus maculatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Prionurus,maculatus,0.5078,2,0,35,,,,2.230769231,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Prionurus microlepidotus,Prionurus microlepidotus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Prionurus,microlepidotus,0.5078,2.7,0.3,50,,,,2.230769231,benthic algae,herbivore,1,Day,Demersal,rock,low,low
Prionurus punctatus,Prionurus punctatus,Chordata,Actinopterygii,Perciformes,Acanthuridae,Prionurus,punctatus,0.5078,2,0,41,,,,2.230769231,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Prionurus scalprum,Prionurus scalprum,Chordata,Actinopterygii,Perciformes,Acanthuridae,Prionurus,scalprum,0.5078,2,0,39,dioecism,exterl,nonguarders,2.230769231,benthic algae,herbivore,1,Day,Demersal,rock,low,low
Zebrasoma desjardinii,Zebrasoma desjardinii,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,desjardinii,0.5078,2,0,33,,,,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Zebrasoma flavescens,Zebrasoma flavescens,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,flavescens,0.5078,2,0,35,dioecism,exterl,nonguarders,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Zebrasoma rostratum,Zebrasoma rostratum,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,rostratum,0.5078,2,0,23,,,,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Zebrasoma scopas,Zebrasoma scopas,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,scopas,0.5078,2,0,66,dioecism,exterl,nonguarders,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Zebrasoma spp.,Zebrasoma spp.,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,,0.5078,,,,,,,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Zebrasoma veliferum,Zebrasoma veliferum,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,veliferum,0.5078,2,0,37,dioecism,exterl,nonguarders,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Zebrasoma xanthurum,Zebrasoma xanthurum,Chordata,Actinopterygii,Perciformes,Acanthuridae,Zebrasoma,xanthurum,0.5078,2,0,24,,,,1,benthic algae,herbivore,1,Day,Demersal,coral,low,low
Ambassis jacksoniensis,Ambassis jacksoniensis,Chordata,Actinopterygii,Perciformes,Ambassidae,Ambassis,jacksoniensis,0.5,3.1,0.3,10,,,,5,Carnivore,planktivore,4,Night,pelagic site attached,sand,low,medium
Ammodytes tobianus,Ammodytes tobianus,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,0.5156,3.1,0.3,23,dioecism,exterl,,1,Zooplanktivore,planktivore,2,Day,benthic,sand,low,medium
Anarrhichthys ocellatus,Anarrhichthys ocellatus,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,ocellatus,1.0312,3.5,0.53,85,dioecism,exterl,guarders,3,Carnivore,benthic carnivore,4,Day,benthic,rock,low,high
Histiophryne cryptacanthus,Histiophyrne cryptacanthus,Chordata,Actinopterygii,Perciformes,Antennariidae,Histiophyrne,cryptacanthus,,4.2,0.715,,,,,1.5,Carnivore,benthic carnivore,4,Day,benthic,rock,low,high
Aplodactylus arctidens,Aplodactylus arctidens,Chordata,Actinopterygii,Perciformes,Aplodactylidae,Aplodactylus,arctidens,0.5312,2,0,47,,,,1,benthic algae,herbivore,1,Day,Demersal,rock,macroalgae,medium
Aplodactylus etheridgii,Aplodactylus etheridgii,Chordata,Actinopterygii,Perciformes,Aplodactylidae,Aplodactylus,etheridgii,0.5312,2,0,23,,,,1,benthic algae,herbivore,1,Day,Demersal,rock,macroalgae,medium
Aplodactylus lophodon,Aplodactylus lophodon,Chordata,Actinopterygii,Perciformes,Aplodactylidae,Aplodactylus,lophodon,0.5312,2,,,,,,1,benthic algae,herbivore,1,Day,Demersal,rock,macroalgae,medium
Aplodactylus westralis,Aplodactylus westralis,Chordata,Actinopterygii,Perciformes,Aplodactylidae,Aplodactylus,westralis,0.5312,2,0,32,,,,1,benthic algae,herbivore,1,Day,Demersal,rock,macroalgae,medium
Apogon angustatus,Apogon angustatus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,angustatus,0.5,3.3,0.32,11,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon apogonoides,Apogon apogonoides,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,apogonoides,0.5,3.5,0.5,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon atradorsatus,Apogon atradorsatus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,atradorsatus,0.5,3.5,0.5,11,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon atricaudus,Apogon atricaudus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,atricaudus,0.5,3.5,0.46,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon aureus,Apogon myops,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,myops,0.501388889,2.91369863,0.42369863,,,,,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon binotatus,Apogon binotatus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,binotatus,0.5,3.4,0.45,14,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon capricornis,Apogon capricornis,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,capricornis,0.5,3.4,0.5,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon cathetogramma,Apogon cathetogramma,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,cathetogramma,0.5,3.6,0.5,13,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,rock,low,medium
Apogon cavitensis,Apogon cavitensis,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,cavitensis,0.5,3.4,0.5,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon chrysotaenia,Apogon chrysotaenia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,chrysotaenia,0.5,3.6,0.5,12,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon compressus,Apogon compressus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,compressus,0.5,3.5,0.5,12,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon cookii,Apogon cookii,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,cookii,0.5,3.5,0.6,10,dioecism,exterl,bearers,2,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon cyanosoma,Apogon cyanosoma,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,cyanosoma,0.5,3.4,0.5,10,dioecism,exterl,bearers,2,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon dispar,Apogon dispar,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,dispar,0.5,3.4,0.5,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon doederleini,Apogon doederleini,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,doederleini,0.5,3.6,0.56,13,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon dovii,Apogon dovii,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,dovii,0.5,3.4,0.45,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon exostigma,Apogon exostigma,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,exostigma,0.5,3.7,0.6,12,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon fasciatus,Apogon fasciatus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,fasciatus,0.5625,3.6,0.6,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,rock,low,medium
Apogon flavus,Apogon flavus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,flavus,0.5,3.6,0.5,11,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon fraenatus,Apogon fraenatus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,fraenatus,0.5,3.5,0.5,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon imberbis,Apogon imberbis,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,imberbis,0.5,3.9,0.6,15,dioecism,interl (oviduct),bearers,2,Carnivore,planktivore,4,Night,pelagic site attached,rock,low,medium
Apogon kallopterus,Apogon kallopterus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,kallopterus,0.5,3.5,0.6,14,dioecism,exterl,bearers,5,Benthic Mobile Inverts,benthic carnivore,3,Night,pelagic site attached,coral,low,medium
Apogon lachneri,Apogon lachneri,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,lachneri,0.5,3.4,0.5,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon limenus,Apogon limenus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,limenus,0.5,3.6,0.5,13,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,rock,low,medium
Apogon maculatus,Apogon maculatus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,maculatus,0.5,3.5,0.5,11,dioecism,exterl,bearers,2,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon monospilus,Apogon monospilus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,monospilus,0.5,3.5,0.5,10,,,,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
Apogon multilineatus,Apogon multilineatus,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,multilineatus,0.5,3.5,0.5,10,dioecism,exterl,bearers,2.615384615,benth. crustaceans,benthic carnivore,2,Night,pelagic site attached,coral,low,medium
